N,DEPARTAMENTO,MUNICIPIO,ZZ,PP,PUESTO,MESA,COD CAN,CANDIDATO,POTENCIAL,% Partic. Mesa PRE,Votos Mesa PRE,Votos Mesa ESC,Votos Cand. PRE,Votos Cand. ESC,Dif. Cand. Neta,% Cand. Mesa PRE,% Cand. Mesa ESC,% Cand. Mun PRE,% Cand. Mun ESC,Dif. % Mesa-Mun PRE,Dif. % Mesa-Mun ESC,Var. Súbita PRE,Var. Súbita ESC,Concent. Cand. PRE,Concent. Cand. ESC,Diferencias Mesa (-),Diferencias Mesa (+),Dif. Mesa Neta,En términos,Estado del sobre,Excluida,Firmas Jurados,Recontada Comisión,Recontada Jurados,Sufragantes E11 según E14,Sufragantes según E11,Tacahaduras y/o Enmendaduras,Total Votos E14,Votos Urna,Votos Incinerados
1156,01 ANTIOQUIA,001-MEDELLIN,90.0,01,ESTADIO ATANASIO GIRARDOT,12.0,4.0,ABELARDO DE LA ESPRIELLA,800.0,39.38,315.0,315.0,218.0,218.0,0.0,69.21,69.21,54.5,54.73,14.71,14.48,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,315.0,315.0,NO,315.0,315.0,0.0
1157,01 ANTIOQUIA,049-BELLO,2.0,06,IE SUAREZ DE LA PRESENTACION,4.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,88.06,317.0,317.0,218.0,218.0,0.0,68.77,68.77,51.11,51.17,17.66,17.6,3. Alta,3. Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,317.0,317.0,NO,317.0,317.0,0.0
1158,01 ANTIOQUIA,082-CARMEN DE VIBORAL,99.0,40,I. E. R. SANTA MARIA,3.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,89.44,322.0,322.0,218.0,218.0,0.0,67.7,67.7,55.46,55.43,12.24,12.27,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,322.0,322.0,NO,322.0,322.0,0.0
1159,01 ANTIOQUIA,121-ENVIGADO,10.0,01,IE ALEJANDRO VELEZ BARRIENTOS SD ALCALA,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,89.44,322.0,322.0,218.0,218.0,0.0,67.7,67.7,64.97,64.97,2.73,2.73,0. Mínima,0. Mínima,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,322.0,322.0,NO,322.0,322.0,0.0
1160,01 ANTIOQUIA,151-ITAGUI,6.0,05,CENTRAL MAYORISTA,1.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,91.11,328.0,328.0,218.0,218.0,0.0,66.46,66.46,55.41,55.53,11.05,10.93,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,328.0,328.0,NO,328.0,328.0,0.0
1161,01 ANTIOQUIA,151-ITAGUI,90.0,01,POLIDEPORTIVO MUNICIPAL,17.0,4.0,ABELARDO DE LA ESPRIELLA,800.0,38.25,306.0,306.0,218.0,218.0,0.0,71.24,71.24,55.41,55.53,15.83,15.71,3. Alta,3. Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,306.0,306.0,NO,306.0,306.0,0.0
1162,01 ANTIOQUIA,166-LA ESTRELLA,1.0,04,COL. DIVINO SALVADOR,8.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,87.5,315.0,315.0,218.0,218.0,0.0,69.21,69.21,53.05,53.33,16.16,15.88,3. Alta,3. Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,315.0,315.0,NO,315.0,315.0,0.0
1163,01 ANTIOQUIA,218-SABANETA,1.0,01,I.E. RAFAEL J. MEJIA,6.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,83.89,302.0,302.0,218.0,218.0,0.0,72.19,72.19,61.62,61.6,10.57,10.58,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,302.0,302.0,NO,302.0,302.0,0.0
1164,01 ANTIOQUIA,256-SANTUARIO,2.0,02,I.E.T.I. JOSE MARIA CORDOBA SD PRIMARIA,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,83.33,300.0,300.0,218.0,218.0,0.0,72.67,72.67,73.16,73.2,-0.49,-0.53,0. Mínima,0. Mínima,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,300.0,300.0,NO,300.0,300.0,0.0
1165,03 ATLANTICO,001-BARRANQUILLA,38.0,04,CENTRO COMERCIAL VIVA BARRANQUILLA,1.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,83.89,302.0,302.0,218.0,218.0,0.0,72.19,72.19,45.27,46.24,26.92,25.95,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,302.0,302.0,NO,302.0,302.0,0.0
1166,07 BOYACA,277-SOGAMOSO,90.0,01,COLEGIO CELCO,5.0,4.0,ABELARDO DE LA ESPRIELLA,800.0,58.88,471.0,471.0,218.0,218.0,0.0,46.28,46.28,41.64,41.66,4.65,4.62,0. Mínima,0. Mínima,1. Normal,1. Normal,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,471.0,471.0,NO,471.0,471.0,0.0
1167,07 BOYACA,277-SOGAMOSO,90.0,01,COLEGIO CELCO,6.0,4.0,ABELARDO DE LA ESPRIELLA,800.0,54.0,432.0,432.0,218.0,218.0,0.0,50.46,50.46,41.64,41.66,8.83,8.8,1. Baja,1. Baja,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,432.0,432.0,NO,432.0,432.0,0.0
1168,15 CUNDINAMARCA,031-CAJICA,2.0,07,CLUB EDAD DE ORO,7.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,91.94,331.0,331.0,218.0,218.0,0.0,65.86,65.86,47.23,47.24,18.63,18.63,3. Alta,3. Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,331.0,331.0,NO,331.0,331.0,0.0
1169,16 BOGOTA D.C.,001-BOGOTA. D.C.,1.0,23,COLEGIO DISTRITAL USAQUEN SEDE A,10.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,88.33,318.0,318.0,218.0,218.0,0.0,68.55,68.55,37.37,37.64,31.18,30.91,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,318.0,318.0,NO,318.0,318.0,0.0
1170,16 BOGOTA D.C.,001-BOGOTA. D.C.,1.0,27,COLEGIO COLSUBSIDIO NORTE USAQUEN,10.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,88.06,317.0,317.0,218.0,218.0,0.0,68.77,68.77,37.37,37.64,31.4,31.13,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,317.0,317.0,NO,317.0,317.0,0.0
1171,16 BOGOTA D.C.,001-BOGOTA. D.C.,1.0,35,CARULLA 140,10.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,88.89,320.0,,218.0,,,68.13,,37.37,37.64,,,4. Muy Alta,4. Muy Alta,2. Alta,0. Baja,-320.0,0.0,-320.0,,,,,,,,,,,,
1172,16 BOGOTA D.C.,001-BOGOTA. D.C.,1.0,43,COLEGIO PROVINMA,4.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,87.22,314.0,314.0,218.0,218.0,0.0,69.43,69.43,37.37,37.64,32.05,31.79,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,314.0,314.0,NO,314.0,314.0,0.0
1173,16 BOGOTA D.C.,001-BOGOTA. D.C.,1.0,46,COLEGIO PUREZA DE MARIA,11.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,90.83,327.0,327.0,218.0,218.0,0.0,66.67,66.67,37.37,37.64,29.29,29.03,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,327.0,327.0,NO,327.0,327.0,0.0
1174,16 BOGOTA D.C.,001-BOGOTA. D.C.,1.0,48,CENTRO COMERCIAL PALATINO,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.39,311.0,311.0,218.0,218.0,0.0,70.1,70.1,37.37,37.64,32.72,32.46,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,311.0,311.0,NO,311.0,311.0,0.0
1175,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,27,COLEGIO HIJAS DE CRISTO REY,12.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,84.44,304.0,304.0,218.0,218.0,0.0,71.71,71.71,37.37,37.64,34.34,34.07,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,304.0,304.0,NO,304.0,304.0,0.0
1176,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,28,CENTRO COMERCIAL MAZUREN,13.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,88.06,317.0,317.0,218.0,218.0,0.0,68.77,68.77,37.37,37.64,31.4,31.13,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,317.0,317.0,NO,317.0,317.0,0.0
1177,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,55,EL BATAN,1.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,90.0,324.0,324.0,218.0,218.0,0.0,67.28,67.28,37.37,37.64,29.91,29.64,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,325.0,325.0,NO,324.0,324.0,0.0
1178,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,57,CENTRO COMERCIAL PASEO SAN RAFAEL,18.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,91.11,328.0,328.0,218.0,218.0,0.0,66.46,66.46,37.37,37.64,29.09,28.82,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,328.0,328.0,NO,328.0,328.0,0.0
1179,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,57,CENTRO COMERCIAL PASEO SAN RAFAEL,32.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,91.39,329.0,329.0,218.0,218.0,0.0,66.26,66.26,37.37,37.64,28.89,28.62,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,329.0,329.0,SI,329.0,329.0,0.0
1180,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,59,CARULLA RINCON DE LA COLINA,8.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,90.28,325.0,325.0,218.0,218.0,0.0,67.08,67.08,37.37,37.64,29.7,29.44,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,325.0,325.0,NO,325.0,325.0,0.0
1181,19 HUILA,001-NEIVA,5.0,03,I.E. ESCUELA NORMAL SUPERIOR DE NEIVA,9.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,88.61,319.0,319.0,218.0,218.0,0.0,68.34,68.34,46.25,46.28,22.09,22.06,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,319.0,319.0,NO,319.0,319.0,0.0
1182,26 QUINDIO,001-ARMENIA,10.0,05,FUNDACION QUINDIANA DE ATENCION INTEGRAL,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.94,313.0,314.0,218.0,218.0,0.0,69.65,69.43,49.06,49.08,20.59,20.35,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,1.0,1.0,SI,BUENO,NO,6.0,NO,NO,314.0,314.0,NO,314.0,314.0,0.0
1183,27 SANTANDER,001-BUCARAMANGA,13.0,03,UNIVERSIDAD AUTONOMA DE BUCARAMANGA,6.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,84.17,303.0,303.0,218.0,218.0,0.0,71.95,71.95,57.73,57.75,14.22,14.2,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,303.0,303.0,NO,303.0,303.0,0.0
1184,27 SANTANDER,001-BUCARAMANGA,18.0,01,INST CALDAS,6.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,84.72,305.0,305.0,218.0,218.0,0.0,71.48,71.48,57.73,57.75,13.74,13.73,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,305.0,305.0,NO,305.0,305.0,0.0
1185,27 SANTANDER,001-BUCARAMANGA,18.0,02,COL NUESTRA SEÑORA DEL ROSARIO,3.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.94,313.0,313.0,218.0,218.0,0.0,69.65,69.65,57.73,57.75,11.92,11.9,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,313.0,313.0,NO,313.0,313.0,0.0
1186,27 SANTANDER,082-FLORIDABLANCA,2.0,03,COLEGIO PANAMERICANO,4.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,85.28,307.0,307.0,218.0,218.0,0.0,71.01,71.01,57.14,57.17,13.87,13.84,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,307.0,307.0,NO,307.0,307.0,0.0
1187,27 SANTANDER,082-FLORIDABLANCA,2.0,05,UNAB CAMPUS EL BOSQUE,6.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,88.61,319.0,319.0,218.0,218.0,0.0,68.34,68.34,57.14,57.17,11.2,11.17,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,319.0,319.0,NO,319.0,319.0,0.0
1188,88 CONSULADOS,155-ARGENTINA,5.0,81,LUNES BUENOS AIRES CONSULADO,1.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.13,413.0,,218.0,,,52.78,,36.79,,,,3. Alta,0. Mínima,2. Alta,0. Baja,-413.0,0.0,-413.0,,,,,,,,,,,,
1189,88 CONSULADOS,355-ESPAÑA,3.0,83,MIERCOLES BARCELONA - CONSULADO,2.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,4.3,430.0,,218.0,,,50.7,,40.63,,,,2. Media,0. Mínima,2. Alta,0. Baja,-430.0,0.0,-430.0,,,,,,,,,,,,
1190,88 CONSULADOS,355-ESPAÑA,65.0,06,ALICANTE,1.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,64.0,448.0,,218.0,,,48.66,,40.63,,,,1. Baja,0. Mínima,1. Normal,0. Baja,-448.0,0.0,-448.0,,,,,,,,,,,,
1191,88 CONSULADOS,360-ESTADOS UNIDOS,10.0,81,LUNES BOSTON - CONSULADO,2.0,4.0,ABELARDO DE LA ESPRIELLA,9.999,3.85,385.0,,218.0,,,56.62,,72.1,,,,3. Alta,0. Mínima,2. Alta,0. Baja,-385.0,0.0,-385.0,,,,,,,,,,,,
1192,01 ANTIOQUIA,001-MEDELLIN,15.0,03,I.E.JOSE CELESTINO MUTIS,3.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,89.17,321.0,321.0,217.0,217.0,0.0,67.6,67.6,54.5,54.73,13.11,12.87,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,321.0,321.0,NO,321.0,321.0,0.0
1193,01 ANTIOQUIA,001-MEDELLIN,17.0,05,COLEGIO EUCARISTICO,8.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,84.44,304.0,304.0,217.0,217.0,0.0,71.38,71.38,54.5,54.73,16.89,16.65,3. Alta,3. Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,304.0,304.0,NO,304.0,304.0,0.0
1194,01 ANTIOQUIA,001-MEDELLIN,22.0,04,COL. SAN IGNACIO DE LOYOLA - SD INFANTIL,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,90.28,325.0,325.0,217.0,217.0,0.0,66.77,66.77,54.5,54.73,12.27,12.04,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,325.0,325.0,NO,325.0,325.0,0.0
1195,01 ANTIOQUIA,001-MEDELLIN,22.0,06,UNIVERSIDAD PONTIFICIA BOLIVARIANA,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,88.89,320.0,320.0,217.0,217.0,0.0,67.81,67.81,54.5,54.73,13.32,13.08,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,320.0,320.0,NO,320.0,320.0,0.0
1196,01 ANTIOQUIA,001-MEDELLIN,28.0,01,POLITECNICO JAIME ISAZA CADAVID,13.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.11,310.0,310.0,217.0,217.0,0.0,70.0,70.0,54.5,54.73,15.5,15.27,3. Alta,3. Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,310.0,310.0,NO,310.0,310.0,0.0
1197,01 ANTIOQUIA,001-MEDELLIN,31.0,05,COLEGIO PADRE MANYANET,1.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,83.61,301.0,301.0,217.0,217.0,0.0,72.09,72.09,54.5,54.73,17.6,17.36,3. Alta,3. Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,301.0,301.0,NO,301.0,301.0,0.0
1198,01 ANTIOQUIA,178-MARINILLA,2.0,01,COLEGIO NACIONAL SAN JOSE,4.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,85.56,308.0,308.0,217.0,217.0,0.0,70.45,70.45,60.49,60.55,9.96,9.9,1. Baja,1. Baja,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,309.0,309.0,NO,308.0,308.0,0.0
1199,03 ATLANTICO,001-BARRANQUILLA,34.0,04,COL.INST.ARIANO,5.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,85.56,308.0,308.0,217.0,217.0,0.0,70.45,70.45,45.27,46.24,25.19,24.22,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,308.0,308.0,NO,308.0,308.0,0.0
1200,03 ATLANTICO,001-BARRANQUILLA,38.0,04,CENTRO COMERCIAL VIVA BARRANQUILLA,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,88.33,318.0,318.0,217.0,217.0,0.0,68.24,68.24,45.27,46.24,22.97,22.0,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,-10.0,10.0,0.0,SI,BUENO,NO,6.0,NO,NO,319.0,319.0,NO,318.0,318.0,0.0
1201,15 CUNDINAMARCA,055-CHIA,90.0,01,INST.EDUC.LAURA VICUÑA,24.0,4.0,ABELARDO DE LA ESPRIELLA,500.0,70.4,352.0,352.0,217.0,217.0,0.0,61.65,61.65,50.22,50.59,11.43,11.06,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,352.0,352.0,NO,352.0,352.0,0.0
1202,16 BOGOTA D.C.,001-BOGOTA. D.C.,1.0,48,CENTRO COMERCIAL PALATINO,9.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,83.89,302.0,302.0,217.0,217.0,0.0,71.85,71.85,37.37,37.64,34.48,34.22,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,302.0,302.0,NO,302.0,302.0,0.0
1203,16 BOGOTA D.C.,001-BOGOTA. D.C.,2.0,30,CHICO 97,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,92.22,332.0,332.0,217.0,217.0,0.0,65.36,65.36,37.37,37.64,27.99,27.72,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,332.0,332.0,NO,332.0,332.0,0.0
1204,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,55,EL BATAN,4.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,91.11,328.0,328.0,217.0,217.0,0.0,66.16,66.16,37.37,37.64,28.79,28.52,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,328.0,328.0,NO,328.0,328.0,0.0
1205,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,57,CENTRO COMERCIAL PASEO SAN RAFAEL,5.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,93.06,335.0,335.0,217.0,217.0,0.0,64.78,64.78,37.37,37.64,27.4,27.14,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,335.0,335.0,NO,335.0,335.0,0.0
1206,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,59,CARULLA RINCON DE LA COLINA,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,93.06,335.0,335.0,217.0,217.0,0.0,64.78,64.78,37.37,37.64,27.4,27.14,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,335.0,335.0,NO,335.0,335.0,0.0
1207,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,78,CC PARQUE LA COLINA,7.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,87.5,315.0,315.0,217.0,217.0,0.0,68.89,68.89,37.37,37.64,31.52,31.25,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,315.0,315.0,NO,315.0,315.0,0.0
1208,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,78,CC PARQUE LA COLINA,11.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,87.5,315.0,315.0,217.0,217.0,0.0,68.89,68.89,37.37,37.64,31.52,31.25,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,315.0,315.0,NO,315.0,315.0,0.0
1209,16 BOGOTA D.C.,001-BOGOTA. D.C.,11.0,79,CANCHAS MULTIPLES CAMINOS DE SAN LORENZO,16.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,91.94,331.0,331.0,217.0,217.0,0.0,65.56,65.56,37.37,37.64,28.19,27.92,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,331.0,331.0,NO,331.0,331.0,0.0
1210,24 RISARALDA,001-PEREIRA,99.0,81,UNIMINUTO,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.94,313.0,313.0,217.0,217.0,0.0,69.33,69.33,44.89,44.94,24.44,24.39,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,313.0,313.0,NO,313.0,313.0,0.0
1211,27 SANTANDER,001-BUCARAMANGA,8.0,02,IE NUESTRA SEÑORA DEL PILAR SEDE A,8.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,87.22,314.0,314.0,217.0,217.0,0.0,69.11,69.11,57.73,57.75,11.38,11.36,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,314.0,314.0,NO,314.0,314.0,0.0
1212,27 SANTANDER,001-BUCARAMANGA,13.0,01,COL DE LAS AMERICAS,6.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,85.56,308.0,308.0,217.0,217.0,0.0,70.45,70.45,57.73,57.75,12.72,12.71,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,308.0,308.0,NO,308.0,308.0,0.0
1213,27 SANTANDER,001-BUCARAMANGA,13.0,01,COL DE LAS AMERICAS,7.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,85.56,308.0,308.0,217.0,217.0,0.0,70.45,70.45,57.73,57.75,12.72,12.71,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,308.0,308.0,NO,308.0,308.0,0.0
1214,27 SANTANDER,001-BUCARAMANGA,13.0,04,COL SAN PEDRO CLAVER,5.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,85.0,306.0,306.0,217.0,217.0,0.0,70.92,70.92,57.73,57.75,13.18,13.17,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,306.0,306.0,NO,306.0,306.0,0.0
1215,31 VALLE,001-CALI,25.0,03,COLEGIO REYES CATOLICOS,7.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,83.33,300.0,300.0,217.0,217.0,0.0,72.33,72.33,34.96,35.08,37.38,37.25,4. Muy Alta,4. Muy Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,300.0,300.0,NO,300.0,300.0,0.0
1216,88 CONSULADOS,360-ESTADOS UNIDOS,30.0,05,HOUSTON - DALLAS,6.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,53.14,372.0,,217.0,,,58.33,,72.1,,,,2. Media,0. Mínima,2. Alta,0. Baja,-372.0,0.0,-372.0,,,,,,,,,,,,
1217,88 CONSULADOS,360-ESTADOS UNIDOS,57.0,06,NEWARK - ELIZABETH,11.0,4.0,ABELARDO DE LA ESPRIELLA,700.0,48.14,337.0,,217.0,,,64.39,,72.1,,,,1. Baja,0. Mínima,2. Alta,0. Baja,-337.0,0.0,-337.0,,,,,,,,,,,,
1218,01 ANTIOQUIA,001-MEDELLIN,17.0,05,COLEGIO EUCARISTICO,5.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.11,310.0,310.0,216.0,216.0,0.0,69.68,69.68,54.5,54.73,15.18,14.95,3. Alta,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,310.0,310.0,NO,310.0,310.0,0.0
1219,01 ANTIOQUIA,001-MEDELLIN,28.0,06,COLEGIO PINARES ALTOVERDE,3.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,87.78,316.0,316.0,216.0,216.0,0.0,68.35,68.35,54.5,54.73,13.86,13.63,2. Media,2. Media,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,316.0,316.0,NO,316.0,316.0,0.0
1220,01 ANTIOQUIA,001-MEDELLIN,29.0,06,I.E. LA SALLE DE CAMPOAMOR,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,83.33,300.0,300.0,216.0,216.0,0.0,72.0,72.0,54.5,54.73,17.5,17.27,3. Alta,3. Alta,2. Alta,2. Alta,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,300.0,300.0,NO,300.0,300.0,0.0
