N,DEPARTAMENTO,MUNICIPIO,ZZ,PP,PUESTO,MESA,COD CAN,CANDIDATO,POTENCIAL,% Partic. Mesa PRE,Votos Mesa PRE,Votos Mesa ESC,Votos Cand. PRE,Votos Cand. ESC,Dif. Cand. Neta,% Cand. Mesa PRE,% Cand. Mesa ESC,% Cand. Mun PRE,% Cand. Mun ESC,Dif. % Mesa-Mun PRE,Dif. % Mesa-Mun ESC,Var. Súbita PRE,Var. Súbita ESC,Concent. Cand. PRE,Concent. Cand. ESC,Diferencias Mesa (-),Diferencias Mesa (+),Dif. Mesa Neta,En términos,Estado del sobre,Excluida,Firmas Jurados,Recontada Comisión,Recontada Jurados,Sufragantes E11 según E14,Sufragantes según E11,Tacahaduras y/o Enmendaduras,Total Votos E14,Votos Urna,Votos Incinerados
5309,16 BOGOTA D.C.,001-BOGOTA. D.C.,16.0,52,JULIO GARAVITO SEDE C,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,83.89,302.0,302.0,87.0,87.0,0.0,28.81,28.81,37.37,37.64,-8.56,-8.83,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,302.0,302.0,NO,302.0,302.0,0.0
5310,16 BOGOTA D.C.,001-BOGOTA. D.C.,19.0,64,CALASANZ BUENAVISTA,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,85.28,307.0,307.0,87.0,87.0,0.0,28.34,28.34,37.37,37.64,-9.03,-9.3,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,307.0,307.0,NO,307.0,307.0,0.0
5311,29 TOLIMA,001-IBAGUE,8.0,11,COL. EL MINUTO DE DIOS ARB.CAMPESTRE,8.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,84.72,305.0,305.0,87.0,87.0,0.0,28.52,28.52,45.72,45.72,-17.19,-17.19,3. Alta,3. Alta,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,305.0,305.0,NO,305.0,305.0,0.0
5312,31 VALLE,001-CALI,6.0,06,IE SIMON RODRIGUEZ,4.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.11,310.0,310.0,87.0,87.0,0.0,28.06,28.06,34.96,35.08,-6.89,-7.02,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,311.0,311.0,NO,310.0,310.0,1.0
5313,31 VALLE,064-JAMUNDI,1.0,02,IE ALFREDO BONILLA MONTAÑO,6.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,83.89,302.0,302.0,87.0,87.0,0.0,28.81,28.81,31.5,32.32,-2.69,-3.51,0. Mínima,0. Mínima,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,302.0,302.0,NO,302.0,302.0,0.0
5314,31 VALLE,079-PALMIRA,1.0,08,UNIV DEL VALLE SEDE PALMIRA,2.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,84.17,303.0,294.0,87.0,87.0,0.0,28.71,29.59,31.66,31.72,-2.94,-2.12,0. Mínima,0. Mínima,0. Baja,0. Baja,-9.0,0.0,-9.0,SI,BUENO,NO,6.0,NO,NO,294.0,294.0,NO,294.0,294.0,0.0
5315,11 CAUCA,001-POPAYAN,7.0,03,PARQUE INFORM.DE CIENCIA ARTE,7.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,87.22,314.0,314.0,86.0,86.0,0.0,27.39,27.39,26.33,26.59,1.06,0.8,0. Mínima,0. Mínima,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,314.0,314.0,NO,314.0,314.0,0.0
5316,15 CUNDINAMARCA,247-SOACHA,2.0,10,I.E. VIDA NUEVA,7.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.67,312.0,312.0,86.0,86.0,0.0,27.56,27.56,28.04,28.39,-0.48,-0.83,0. Mínima,0. Mínima,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,312.0,312.0,NO,312.0,312.0,0.0
5317,15 CUNDINAMARCA,247-SOACHA,3.0,07,I.E. LEON XIII - CHILOE,10.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,83.33,300.0,300.0,86.0,86.0,0.0,28.67,28.67,28.04,28.39,0.63,0.28,0. Mínima,0. Mínima,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,300.0,300.0,NO,300.0,300.0,0.0
5318,15 CUNDINAMARCA,292-TOCANCIPA,2.0,01,I. E. DPTAL TECNICO INDUSTRIAL,3.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,87.22,314.0,314.0,86.0,86.0,0.0,27.39,27.39,29.03,29.2,-1.64,-1.82,0. Mínima,0. Mínima,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,314.0,314.0,NO,314.0,314.0,0.0
5319,16 BOGOTA D.C.,001-BOGOTA. D.C.,5.0,22,PORTAL USME,5.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,84.44,304.0,304.0,86.0,86.0,0.0,28.29,28.29,37.37,37.64,-9.08,-9.35,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,304.0,304.0,NO,304.0,304.0,0.0
5320,16 BOGOTA D.C.,001-BOGOTA. D.C.,5.0,22,PORTAL USME,6.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,83.61,301.0,301.0,86.0,86.0,0.0,28.57,28.57,37.37,37.64,-8.8,-9.07,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,301.0,301.0,NO,301.0,301.0,0.0
5321,16 BOGOTA D.C.,001-BOGOTA. D.C.,6.0,28,CIUDAD BOGOTA SEDE B,5.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,83.89,302.0,302.0,86.0,86.0,0.0,28.48,28.48,37.37,37.64,-8.9,-9.16,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,302.0,302.0,NO,302.0,302.0,0.0
5322,16 BOGOTA D.C.,001-BOGOTA. D.C.,7.0,23,LA ESPERANZA,7.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,83.89,302.0,310.0,86.0,86.0,0.0,28.48,27.74,37.37,37.64,-8.9,-9.9,1. Baja,1. Baja,0. Baja,0. Baja,-1.0,9.0,8.0,SI,BUENO,NO,6.0,NO,NO,310.0,310.0,NO,310.0,310.0,0.0
5323,16 BOGOTA D.C.,001-BOGOTA. D.C.,7.0,27,EL RECUERDO SANTAFE,4.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,83.61,301.0,301.0,86.0,86.0,0.0,28.57,28.57,37.37,37.64,-8.8,-9.07,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,301.0,301.0,NO,301.0,301.0,0.0
5324,16 BOGOTA D.C.,001-BOGOTA. D.C.,7.0,32,LAURELES II,4.0,4.0,ABELARDO DE LA ESPRIELLA,360.0,86.39,311.0,311.0,86.0,86.0,0.0,27.65,27.65,37.37,37.64,-9.72,-9.99,1. Baja,1. Baja,0. Baja,0. Baja,0.0,0.0,0.0,SI,BUENO,NO,6.0,NO,NO,311.0,311.0,NO,311.0,311.0,0.0
